name,company,location,image,joburl,companyurl,deadline
Node Js Engineer,
Pace Code
,Baluwatar,image,/node-js-engineer/,/employer/pace-code/,Baluwatar
Flutter Engineer,
Pace Code
,Baluwatar,image,/flutter-engineer/,/employer/pace-code/,Baluwatar
Full Stack Engineer,
Pace Code
,Baluwatar,image,/full-stack-engineer-5/,/employer/pace-code/,Baluwatar
Core Network Engineer,
ZTE Nepal
,Gyan Mandala,Jhamsikhel-3,House No. 3/339 Lalitpur, Nepal,image,/core-network-engineer-9/,/employer/zte-corporation-2/,Gyan Mandala,Jhamsikhel-3,House No. 3/339 Lalitpur, Nepal
Principal Engineer,
UBA Solutions
,Imadole, Lalitpur, Nepal,image,/principal-engineer-5/,/employer/uba-solutions-3/,Imadole, Lalitpur, Nepal
Senior Power and Control Engineer,
Hydroplan
,Kathmandu,image,/power-and-control-engineer-senior/,/employer/hydroplan/,Kathmandu
